id,prof,item,response,latency
P001_L1,29.5,emotional_1,1,326.78042762161600
P001_L1,29.5,emotional_2,1,278.16309325642100
P001_L1,29.5,emotional_3,1,309.77943918470300
P001_L1,29.5,emotional_4,1,316.75787600373500
P001_L1,29.5,emotional_5,1,311.5131789722200
P001_L1,29.5,emotional_6,1,346.8520545503310
P001_L1,29.5,emotional_7,1,319.0159627747580
P001_L1,29.5,emotional_8,1,296.7877631255320
P001_L1,29.5,emotional_9,1,278.57235795116800
P001_L1,29.5,emotional_10,1,272.1595677885410
P001_L1,29.5,emotional_11,1,339.543666568214
P001_L1,29.5,emotional_12,1,330.53290660407400
P001_L1,29.5,emotional_13,1,295.3362326934910
P001_L1,29.5,emotional_14,1,276.13845894980600
P001_L1,29.5,emotional_15,1,286.4667952144590
P001_L1,29.5,emotional_16,1,297.00763235408200
P001_L1,29.5,emotional_17,1,300.20889521418000
P001_L1,29.5,emotional_18,1,335.649138752568
P001_L1,29.5,emotional_19,1,293.0168048486590
P001_L1,29.5,emotional_20,1,289.41599199684600
P001_L1,29.5,emotional_21,1,300.6893814296530
P001_L1,29.5,emotional_22,1,326.70415366153900
P001_L1,29.5,emotional_23,1,267.63117262065200
P001_L1,29.5,emotional_24,1,284.39694409341000
P001_L1,29.5,emotional_25,1,269.3326949836240
P001_L1,29.5,emotional_26,1,337.57552484233600
P001_L1,29.5,emotional_27,1,342.3483326729000
P001_L1,29.5,emotional_28,1,313.4107428695350
P001_L1,29.5,emotional_29,1,319.96151135083200
P001_L1,29.5,emotional_30,1,298.5003338309400
P001_L1,29.5,emotional_31,1,283.10009939031800
P001_L1,29.5,emotional_32,0,268.80909838304600
P001_L1,29.5,emotional_33,1,322.70388312494900
P001_L1,29.5,emotional_34,1,336.10522882395100
P001_L1,29.5,emotional_35,1,284.82824869713
P001_L1,29.5,emotional_36,1,320.0582716079500
P001_L1,29.5,emotional_37,1,318.49706657845500
P001_L1,29.5,emotional_38,0,284.1405642721530
P001_L1,29.5,emotional_39,1,277.51320391425
P001_L1,29.5,emotional_40,0,286.7222891767170
P001_L1,29.5,emotional_41,1,322.7673180453760
P001_L1,29.5,emotional_42,1,319.37964828436100
P001_L1,29.5,emotional_43,1,309.22038112287500
P001_L1,29.5,emotional_44,1,308.2808081845090
P001_L1,29.5,emotional_45,0,294.3447767595760
P001_L1,29.5,emotional_46,1,348.04124009221400
P001_L1,29.5,emotional_47,1,344.61320542554500
P001_L1,29.5,emotional_48,1,282.8458879992160
P001_L1,29.5,emotional_49,1,263.24662343012500
P001_L1,29.5,emotional_50,1,284.2539592744200
P001_L1,29.5,nonemotional_1,1,355.78978450586000
P001_L1,29.5,nonemotional_2,1,316.47002861483300
P001_L1,29.5,nonemotional_3,1,293.3459169064530
P001_L1,29.5,nonemotional_4,1,323.60370742955900
P001_L1,29.5,nonemotional_5,1,299.46363755876500
P001_L1,29.5,nonemotional_6,0,330.2077948423280
P001_L1,29.5,nonemotional_7,1,345.0639321247900
P001_L1,29.5,nonemotional_8,1,326.9493214403600
P001_L1,29.5,nonemotional_9,1,323.43399742956700
P001_L1,29.5,nonemotional_10,1,272.63938710383500
P001_L1,29.5,nonemotional_11,1,323.0969665119380
P001_L1,29.5,nonemotional_12,1,267.14607421150000
P001_L1,29.5,nonemotional_13,1,312.52235947003700
P001_L1,29.5,nonemotional_14,1,329.253407443182
P001_L1,29.5,nonemotional_15,0,316.11476930593300
P001_L1,29.5,nonemotional_16,1,329.26260842536800
P001_L1,29.5,nonemotional_17,1,275.2601371740130
P001_L1,29.5,nonemotional_18,1,276.9204529078640
P001_L1,29.5,nonemotional_19,1,288.53232486995600
P001_L1,29.5,nonemotional_20,1,274.39358457704100
P001_L1,29.5,nonemotional_21,1,292.8365388780580
P001_L1,29.5,nonemotional_22,1,300.6045150147380
P001_L1,29.5,nonemotional_23,1,310.22185020205100
P001_L1,29.5,nonemotional_24,0,334.7650599062190
P001_L1,29.5,nonemotional_25,1,291.55246766482600
P001_L1,29.5,nonemotional_26,0,299.2513394397320
P001_L1,29.5,nonemotional_27,1,311.43117649199700
P001_L1,29.5,nonemotional_28,1,276.51944501207900
P001_L1,29.5,nonemotional_29,1,275.0320931383860
P001_L1,29.5,nonemotional_30,1,296.17631560232300
P001_L1,29.5,nonemotional_31,1,331.3832837701170
P001_L1,29.5,nonemotional_32,1,309.9480135011840
P001_L1,29.5,nonemotional_33,1,260.1723071844380
P001_L1,29.5,nonemotional_34,1,311.32752921076700
P001_L1,29.5,nonemotional_35,1,268.00590547522000
P001_L1,29.5,nonemotional_36,1,321.6257364793870
P001_L1,29.5,nonemotional_37,1,325.24414469722900
P001_L1,29.5,nonemotional_38,1,333.4988344377010
P001_L1,29.5,nonemotional_39,1,282.1479938108880
P001_L1,29.5,nonemotional_40,1,266.87035826304300
P001_L1,29.5,nonemotional_41,1,304.1426729792170
P001_L1,29.5,nonemotional_42,1,305.71610113745600
P001_L1,29.5,nonemotional_43,1,342.330507645344
P001_L1,29.5,nonemotional_44,1,299.41688125729600
P001_L1,29.5,nonemotional_45,0,291.18295868832500
P001_L1,29.5,nonemotional_46,1,353.34607297149500
P001_L1,29.5,nonemotional_47,1,326.5930421113810
P001_L1,29.5,nonemotional_48,1,296.17784728522800
P001_L1,29.5,nonemotional_49,1,283.4651938286810
P001_L1,29.5,nonemotional_50,1,321.93790806236300
P001_L1,29.5,pseudoword_1,0,327.08159039714200
P001_L1,29.5,pseudoword_2,1,386.21792422144600
P001_L1,29.5,pseudoword_3,1,292.59163210121500
P001_L1,29.5,pseudoword_4,1,311.00767842451900
P001_L1,29.5,pseudoword_5,1,319.2645123050000
P001_L1,29.5,pseudoword_6,1,245.79137997528700
P001_L1,29.5,pseudoword_7,1,289.84251436645800
P001_L1,29.5,pseudoword_8,1,279.8762391615140
P001_L1,29.5,pseudoword_9,1,296.14292314299700
P001_L1,29.5,pseudoword_10,1,325.58455959761500
P001_L1,29.5,pseudoword_11,1,292.80118846763200
P001_L1,29.5,pseudoword_12,1,334.5335337748520
P001_L1,29.5,pseudoword_13,1,310.50055646749400
P001_L1,29.5,pseudoword_14,1,332.2950960696980
P001_L1,29.5,pseudoword_15,1,311.4990341228890
P001_L1,29.5,pseudoword_16,1,250.74259002755400
P001_L1,29.5,pseudoword_17,1,329.0121296884790
P001_L1,29.5,pseudoword_18,1,302.7860434753600
P001_L1,29.5,pseudoword_19,1,252.15911246930100
P001_L1,29.5,pseudoword_20,1,284.23192053593300
P001_L1,29.5,pseudoword_21,1,312.30653867579600
P001_L1,29.5,pseudoword_22,1,318.9486018726570
P001_L1,29.5,pseudoword_23,1,288.1468227924150
P001_L1,29.5,pseudoword_24,1,290.0178838424130
P001_L1,29.5,pseudoword_25,1,249.02646124638300
P001_L1,29.5,pseudoword_26,1,289.6545898639370
P001_L1,29.5,pseudoword_27,1,302.1354131713020
P001_L1,29.5,pseudoword_28,1,320.9366610602790
P001_L1,29.5,pseudoword_29,1,283.6187232167150
P001_L1,29.5,pseudoword_30,0,379.22294805051400
P001_L1,29.5,pseudoword_31,1,283.9036622010100
P001_L1,29.5,pseudoword_32,1,306.6368832178150
P001_L1,29.5,pseudoword_33,1,312.6652032514460
P001_L1,29.5,pseudoword_34,1,294.06460579970100
P001_L1,29.5,pseudoword_35,1,292.0240880022770
P001_L1,29.5,pseudoword_36,1,264.5634154000920
P001_L1,29.5,pseudoword_37,1,304.64629083430100
P001_L1,29.5,pseudoword_38,0,354.6306254893290
P001_L1,29.5,pseudoword_39,1,353.81524173578900
P001_L1,29.5,pseudoword_40,1,287.0925827128020
P001_L1,29.5,pseudoword_41,1,293.71152991303700
P001_L1,29.5,pseudoword_42,1,310.2590712893240
P001_L1,29.5,pseudoword_43,0,303.2115803842330
P001_L1,29.5,pseudoword_44,0,289.48467032300400
P001_L1,29.5,pseudoword_45,1,297.55242439764900
P001_L1,29.5,pseudoword_46,1,300.318025900071
P001_L1,29.5,pseudoword_47,1,228.44162160427500
P001_L1,29.5,pseudoword_48,1,336.7915568408000
P001_L1,29.5,pseudoword_49,1,321.0454451548330
P001_L1,29.5,pseudoword_50,1,330.32246230478900
P001_L2,29.5,emotional_1,0,367.5809102878470
P001_L2,29.5,emotional_2,0,392.17194565257800
P001_L2,29.5,emotional_3,1,418.99515793885600
P001_L2,29.5,emotional_4,1,406.74648389220300
P001_L2,29.5,emotional_5,0,406.0094889410040
P001_L2,29.5,emotional_6,0,432.45044787425600
P001_L2,29.5,emotional_7,0,388.8767577600130
