"id","language","word_type","item","accuracy","latency"
"P001","L1","emotional","emotional_1",1,326.780427621616
"P001","L1","emotional","emotional_2",1,278.163093256421
"P001","L1","emotional","emotional_3",1,309.779439184703
"P001","L1","emotional","emotional_4",1,316.757876003735
"P001","L1","emotional","emotional_5",1,311.51317897222
"P001","L1","emotional","emotional_6",1,346.852054550331
"P001","L1","emotional","emotional_7",1,319.015962774758
"P001","L1","emotional","emotional_8",1,296.787763125532
"P001","L1","emotional","emotional_9",1,278.572357951168
"P001","L1","emotional","emotional_10",1,272.159567788541
"P001","L1","emotional","emotional_11",1,339.543666568214
"P001","L1","emotional","emotional_12",1,330.532906604074
"P001","L1","emotional","emotional_13",1,295.336232693491
"P001","L1","emotional","emotional_14",1,276.138458949806
"P001","L1","emotional","emotional_15",1,286.466795214459
"P001","L1","emotional","emotional_16",1,297.007632354082
"P001","L1","emotional","emotional_17",1,300.20889521418
"P001","L1","emotional","emotional_18",1,335.649138752568
"P001","L1","emotional","emotional_19",1,293.016804848659
"P001","L1","emotional","emotional_20",1,289.415991996846
"P001","L1","emotional","emotional_21",1,300.689381429653
"P001","L1","emotional","emotional_22",1,326.704153661539
"P001","L1","emotional","emotional_23",1,267.631172620652
"P001","L1","emotional","emotional_24",1,284.39694409341
"P001","L1","emotional","emotional_25",1,269.332694983624
"P001","L1","emotional","emotional_26",1,337.575524842336
"P001","L1","emotional","emotional_27",1,342.3483326729
"P001","L1","emotional","emotional_28",1,313.410742869535
"P001","L1","emotional","emotional_29",1,319.961511350832
"P001","L1","emotional","emotional_30",1,298.50033383094
"P001","L1","emotional","emotional_31",1,283.100099390318
"P001","L1","emotional","emotional_32",0,268.809098383046
"P001","L1","emotional","emotional_33",1,322.703883124949
"P001","L1","emotional","emotional_34",1,336.105228823951
"P001","L1","emotional","emotional_35",1,284.82824869713
"P001","L1","emotional","emotional_36",1,320.05827160795
"P001","L1","emotional","emotional_37",1,318.497066578455
"P001","L1","emotional","emotional_38",0,284.140564272153
"P001","L1","emotional","emotional_39",1,277.51320391425
"P001","L1","emotional","emotional_40",0,286.722289176717
"P001","L1","emotional","emotional_41",1,322.767318045376
"P001","L1","emotional","emotional_42",1,319.379648284361
"P001","L1","emotional","emotional_43",1,309.220381122875
"P001","L1","emotional","emotional_44",1,308.280808184509
"P001","L1","emotional","emotional_45",0,294.344776759576
"P001","L1","emotional","emotional_46",1,348.041240092214
"P001","L1","emotional","emotional_47",1,344.613205425545
"P001","L1","emotional","emotional_48",1,282.845887999216
"P001","L1","emotional","emotional_49",1,263.246623430125
"P001","L1","emotional","emotional_50",1,284.25395927442
"P001","L1","nonemotional","nonemotional_1",1,355.78978450586
"P001","L1","nonemotional","nonemotional_2",1,316.470028614833
"P001","L1","nonemotional","nonemotional_3",1,293.345916906453
"P001","L1","nonemotional","nonemotional_4",1,323.603707429559
"P001","L1","nonemotional","nonemotional_5",1,299.463637558765
"P001","L1","nonemotional","nonemotional_6",0,330.207794842328
"P001","L1","nonemotional","nonemotional_7",1,345.06393212479
"P001","L1","nonemotional","nonemotional_8",1,326.94932144036
"P001","L1","nonemotional","nonemotional_9",1,323.433997429567
"P001","L1","nonemotional","nonemotional_10",1,272.639387103835
"P001","L1","nonemotional","nonemotional_11",1,323.096966511938
"P001","L1","nonemotional","nonemotional_12",1,267.1460742115
"P001","L1","nonemotional","nonemotional_13",1,312.522359470037
"P001","L1","nonemotional","nonemotional_14",1,329.253407443182
"P001","L1","nonemotional","nonemotional_15",0,316.114769305933
"P001","L1","nonemotional","nonemotional_16",1,329.262608425368
"P001","L1","nonemotional","nonemotional_17",1,275.260137174013
"P001","L1","nonemotional","nonemotional_18",1,276.920452907864
"P001","L1","nonemotional","nonemotional_19",1,288.532324869956
"P001","L1","nonemotional","nonemotional_20",1,274.393584577041
"P001","L1","nonemotional","nonemotional_21",1,292.836538878058
"P001","L1","nonemotional","nonemotional_22",1,300.604515014738
"P001","L1","nonemotional","nonemotional_23",1,310.221850202051
"P001","L1","nonemotional","nonemotional_24",0,334.765059906219
"P001","L1","nonemotional","nonemotional_25",1,291.552467664826
"P001","L1","nonemotional","nonemotional_26",0,299.251339439732
"P001","L1","nonemotional","nonemotional_27",1,311.431176491997
"P001","L1","nonemotional","nonemotional_28",1,276.519445012079
"P001","L1","nonemotional","nonemotional_29",1,275.032093138386
"P001","L1","nonemotional","nonemotional_30",1,296.176315602323
"P001","L1","nonemotional","nonemotional_31",1,331.383283770117
"P001","L1","nonemotional","nonemotional_32",1,309.948013501184
"P001","L1","nonemotional","nonemotional_33",1,260.172307184438
"P001","L1","nonemotional","nonemotional_34",1,311.327529210767
"P001","L1","nonemotional","nonemotional_35",1,268.00590547522
"P001","L1","nonemotional","nonemotional_36",1,321.625736479387
"P001","L1","nonemotional","nonemotional_37",1,325.244144697229
"P001","L1","nonemotional","nonemotional_38",1,333.498834437701
"P001","L1","nonemotional","nonemotional_39",1,282.147993810888
"P001","L1","nonemotional","nonemotional_40",1,266.870358263043
"P001","L1","nonemotional","nonemotional_41",1,304.142672979217
"P001","L1","nonemotional","nonemotional_42",1,305.716101137456
"P001","L1","nonemotional","nonemotional_43",1,342.330507645344
"P001","L1","nonemotional","nonemotional_44",1,299.416881257296
"P001","L1","nonemotional","nonemotional_45",0,291.182958688325
"P001","L1","nonemotional","nonemotional_46",1,353.346072971495
"P001","L1","nonemotional","nonemotional_47",1,326.593042111381
"P001","L1","nonemotional","nonemotional_48",1,296.177847285228
"P001","L1","nonemotional","nonemotional_49",1,283.465193828681
"P001","L1","nonemotional","nonemotional_50",1,321.937908062363
"P001","L2","emotional","emotional_1",0,367.580910287847
"P001","L2","emotional","emotional_2",0,392.171945652578
"P001","L2","emotional","emotional_3",1,418.995157938856
"P001","L2","emotional","emotional_4",1,406.746483892203
"P001","L2","emotional","emotional_5",0,406.009488941004
"P001","L2","emotional","emotional_6",0,432.450447874256
"P001","L2","emotional","emotional_7",0,388.876757760013
"P001","L2","emotional","emotional_8",1,370.287038126188
"P001","L2","emotional","emotional_9",0,409.625226416531
"P001","L2","emotional","emotional_10",0,403.177559196628
"P001","L2","emotional","emotional_11",0,376.492128482914
"P001","L2","emotional","emotional_12",1,391.964536499664
"P001","L2","emotional","emotional_13",1,430.342585583255
"P001","L2","emotional","emotional_14",1,390.040258950205
"P001","L2","emotional","emotional_15",1,350.038286523016
"P001","L2","emotional","emotional_16",0,396.327342965765
"P001","L2","emotional","emotional_17",1,374.732298798525
"P001","L2","emotional","emotional_18",1,381.816702357528
"P001","L2","emotional","emotional_19",0,425.029353733411
"P001","L2","emotional","emotional_20",0,393.150123972062
"P001","L2","emotional","emotional_21",1,333.089237708841
"P001","L2","emotional","emotional_22",1,375.22371850895
"P001","L2","emotional","emotional_23",1,398.631670107364
"P001","L2","emotional","emotional_24",1,425.043521884643
"P001","L2","emotional","emotional_25",1,384.909029020661
"P001","L2","emotional","emotional_26",0,353.034882156577
"P001","L2","emotional","emotional_27",0,427.603743241912
"P001","L2","emotional","emotional_28",0,409.00569794998
"P001","L2","emotional","emotional_29",1,433.159625927938
"P001","L2","emotional","emotional_30",1,421.405732679267
"P001","L2","emotional","emotional_31",1,389.288315726102
"P001","L2","emotional","emotional_32",0,406.277026142445
"P001","L2","emotional","emotional_33",0,413.912175749819
"P001","L2","emotional","emotional_34",0,436.491733402031
"P001","L2","emotional","emotional_35",0,390.036077831986
"P001","L2","emotional","emotional_36",1,375.884692395363
"P001","L2","emotional","emotional_37",0,432.910987137542
"P001","L2","emotional","emotional_38",1,408.698858831554
"P001","L2","emotional","emotional_39",1,411.188312752785
"P001","L2","emotional","emotional_40",0,392.452207229944
"P001","L2","emotional","emotional_41",1,424.475045965639
"P001","L2","emotional","emotional_42",1,441.314205089075
"P001","L2","emotional","emotional_43",1,427.863454245114
"P001","L2","emotional","emotional_44",1,426.246198534031
"P001","L2","emotional","emotional_45",0,361.278995540278
"P001","L2","emotional","emotional_46",1,426.720854365968
"P001","L2","emotional","emotional_47",1,412.080738756754
"P001","L2","emotional","emotional_48",1,389.287095963298
"P001","L2","emotional","emotional_49",1,425.316836502135
"P001","L2","emotional","emotional_50",0,448.145359871774
"P001","L2","nonemotional","nonemotional_1",1,390.942324257347
"P001","L2","nonemotional","nonemotional_2",1,408.732460189084
"P001","L2","nonemotional","nonemotional_3",0,440.20502676795
"P001","L2","nonemotional","nonemotional_4",1,395.320291286305
"P001","L2","nonemotional","nonemotional_5",0,389.057815664833
"P001","L2","nonemotional","nonemotional_6",1,400.10317482932
"P001","L2","nonemotional","nonemotional_7",0,430.222711307811
"P001","L2","nonemotional","nonemotional_8",0,407.39268553962
"P001","L2","nonemotional","nonemotional_9",0,377.470516674944
"P001","L2","nonemotional","nonemotional_10",0,373.853928042329
"P001","L2","nonemotional","nonemotional_11",1,383.923762529507
"P001","L2","nonemotional","nonemotional_12",1,355.261022831484
"P001","L2","nonemotional","nonemotional_13",0,373.6454290599
"P001","L2","nonemotional","nonemotional_14",0,402.40196297825
"P001","L2","nonemotional","nonemotional_15",1,395.530614416594
"P001","L2","nonemotional","nonemotional_16",1,379.54162544018
"P001","L2","nonemotional","nonemotional_17",0,372.178494713497
"P001","L2","nonemotional","nonemotional_18",1,355.247186114219
"P001","L2","nonemotional","nonemotional_19",0,411.740092671771
"P001","L2","nonemotional","nonemotional_20",0,352.988946127384
"P001","L2","nonemotional","nonemotional_21",1,435.689089582677
"P001","L2","nonemotional","nonemotional_22",0,361.814652941249
"P001","L2","nonemotional","nonemotional_23",1,385.963582921034
"P001","L2","nonemotional","nonemotional_24",0,379.819257010435
"P001","L2","nonemotional","nonemotional_25",1,367.839540604188
"P001","L2","nonemotional","nonemotional_26",0,375.221873616952
"P001","L2","nonemotional","nonemotional_27",1,415.903298699072
"P001","L2","nonemotional","nonemotional_28",0,365.982157527311
"P001","L2","nonemotional","nonemotional_29",1,425.94966099372
"P001","L2","nonemotional","nonemotional_30",1,411.22124570913
"P001","L2","nonemotional","nonemotional_31",0,391.040342593616
"P001","L2","nonemotional","nonemotional_32",0,401.620879781436
"P001","L2","nonemotional","nonemotional_33",0,371.409674896452
"P001","L2","nonemotional","nonemotional_34",1,393.74468414112
"P001","L2","nonemotional","nonemotional_35",1,360.05437436996
"P001","L2","nonemotional","nonemotional_36",1,416.793773664185
"P001","L2","nonemotional","nonemotional_37",0,409.851984837878
"P001","L2","nonemotional","nonemotional_38",0,405.656344355296
"P001","L2","nonemotional","nonemotional_39",0,377.589981784904
"P001","L2","nonemotional","nonemotional_40",1,349.884819556852
"P001","L2","nonemotional","nonemotional_41",1,389.270905531046
"P001","L2","nonemotional","nonemotional_42",1,392.732531416422
"P001","L2","nonemotional","nonemotional_43",1,366.169419300537
"P001","L2","nonemotional","nonemotional_44",0,411.227730832023
"P001","L2","nonemotional","nonemotional_45",0,346.433461057291
"P001","L2","nonemotional","nonemotional_46",1,333.414473005715
"P001","L2","nonemotional","nonemotional_47",1,344.027177628015
"P001","L2","nonemotional","nonemotional_48",0,427.831252076717
"P001","L2","nonemotional","nonemotional_49",0,363.453406988272
"P001","L2","nonemotional","nonemotional_50",1,341.758440226656
"P002","L1","emotional","emotional_1",1,271.378390113261
"P002","L1","emotional","emotional_2",1,301.005527140664
"P002","L1","emotional","emotional_3",1,331.118925585848
"P002","L1","emotional","emotional_4",1,342.232277988625
"P002","L1","emotional","emotional_5",1,310.494444247163
"P002","L1","emotional","emotional_6",1,280.134331620166
"P002","L1","emotional","emotional_7",1,302.528603012732
"P002","L1","emotional","emotional_8",1,286.133278883648
"P002","L1","emotional","emotional_9",1,265.154346952542
"P002","L1","emotional","emotional_10",1,275.304835691456
"P002","L1","emotional","emotional_11",1,342.114110145057
"P002","L1","emotional","emotional_12",1,309.371798717086
"P002","L1","emotional","emotional_13",1,294.367256418493
"P002","L1","emotional","emotional_14",1,283.723205434006
"P002","L1","emotional","emotional_15",1,277.389488234272
"P002","L1","emotional","emotional_16",1,290.941849818869
"P002","L1","emotional","emotional_17",1,290.936488853814
"P002","L1","emotional","emotional_18",1,267.202073606741
"P002","L1","emotional","emotional_19",1,312.001561018495
"P002","L1","emotional","emotional_20",1,307.961131364815
"P002","L1","emotional","emotional_21",1,327.436510599804
"P002","L1","emotional","emotional_22",1,334.328041128184
"P002","L1","emotional","emotional_23",1,268.097863806262
"P002","L1","emotional","emotional_24",1,297.346784123358
"P002","L1","emotional","emotional_25",0,256.053889637139
"P002","L1","emotional","emotional_26",1,305.291756120396
"P002","L1","emotional","emotional_27",1,315.163097206438
"P002","L1","emotional","emotional_28",1,301.595699669079
"P002","L1","emotional","emotional_29",1,322.61888751045
"P002","L1","emotional","emotional_30",1,268.862536518816
"P002","L1","emotional","emotional_31",1,257.452734850271
"P002","L1","emotional","emotional_32",1,333.328806060943
"P002","L1","emotional","emotional_33",0,319.957273225287
"P002","L1","emotional","emotional_34",1,308.932066477032
"P002","L1","emotional","emotional_35",1,283.81730579805
"P002","L1","emotional","emotional_36",1,350.829682096871
"P002","L1","emotional","emotional_37",1,251.059708855727
"P002","L1","emotional","emotional_38",1,300.857477700191
"P002","L1","emotional","emotional_39",1,322.596436642678
"P002","L1","emotional","emotional_40",1,302.799693337928
"P002","L1","emotional","emotional_41",1,278.108250056196
"P002","L1","emotional","emotional_42",1,298.591167826397
"P002","L1","emotional","emotional_43",1,270.071626061469
"P002","L1","emotional","emotional_44",1,264.264219364335
"P002","L1","emotional","emotional_45",1,358.955573103624
"P002","L1","emotional","emotional_46",0,291.025822380851
"P002","L1","emotional","emotional_47",0,295.907681574258
"P002","L1","emotional","emotional_48",1,278.172726315395
"P002","L1","emotional","emotional_49",1,239.338050622378
"P002","L1","emotional","emotional_50",0,312.721437560256
"P002","L1","nonemotional","nonemotional_1",1,330.504532907999
"P002","L1","nonemotional","nonemotional_2",1,323.717946234718
"P002","L1","nonemotional","nonemotional_3",1,339.525446352886
"P002","L1","nonemotional","nonemotional_4",1,305.760602799199
"P002","L1","nonemotional","nonemotional_5",1,278.138405450875
"P002","L1","nonemotional","nonemotional_6",1,252.5447014054
"P002","L1","nonemotional","nonemotional_7",1,317.298173256592
"P002","L1","nonemotional","nonemotional_8",1,305.409081934552
"P002","L1","nonemotional","nonemotional_9",1,313.7614212661
